"purchase_month","category_name","monthly_sales_amount","sales_mom_growth","monthly_order_count","order_mom_growth","monthly_item_count","item_mom_growth"
"2017-06",costruction_tools_garden,434.69,-0.6996628297428386,3,-0.4,4,-0.42857142857142855
"2017-06",drinks,49.99,-0.44455555555555554,1,0.0,1,0.0
"2017-06",dvds_blu_ray,126.69,0.4139508928571429,4,0.0,4,0.0
"2017-06",electronics,2060.04,-0.6649856645921117,39,-0.3389830508474576,41,-0.36923076923076925
"2017-06",fashio_female_clothing,154.8,-0.5787755102040816,3,-0.25,3,-0.25
"2017-06",fashion_bags_accessories,6722.13,-0.06533231368186873,75,-0.17582417582417584,81,-0.22115384615384615
"2017-06",fashion_childrens_clothes,110.0,0.0,1,0.0,1,0.0
"2017-06",fashion_male_clothing,519.79,-0.14634586960091972,7,1.3333333333333333,9,1.25
"2017-06",fashion_shoes,1279.38,-0.23369311307306195,16,-0.2727272727272727,19,-0.13636363636363635
"2017-06",fashion_sport,470.5,2.7688240948413965,5,0.6666666666666666,5,0.6666666666666666
"2017-06",fashion_underwear_beach,3.9,-0.9862433862433864,1,-0.8333333333333334,1,-0.8571428571428571
"2017-06",fixed_telephony,933.67,1.0942287418971357,12,0.3333333333333333,12,0.3333333333333333
"2017-06",food,149.9,-0.6135601959267852,1,-0.6666666666666666,1,-0.6666666666666666
"2017-06",food_drink,57.4,-0.8338591565602478,2,-0.8,2,-0.8333333333333334
"2017-06",furniture_bedroom,308.99,-0.8696228222298171,2,-0.6666666666666666,2,-0.7777777777777778
"2017-06",furniture_decor,16614.29,-0.2553832956714027,177,-0.2168141592920354,230,-0.15129151291512916
"2017-06",furniture_living_room,1713.3,-0.6175200080367009,12,-0.5555555555555556,15,-0.53125
"2017-06",garden_tools,15447.09,-0.2417701841250269,98,-0.19008264462809918,110,-0.2028985507246377
"2017-06",health_beauty,31676.81,-0.31642708274439,233,-0.10727969348659004,254,-0.1056338028169014
"2017-06",home_appliances,2507.19,0.31075026531924577,42,0.5,43,0.5357142857142857
"2017-06",home_appliances_2,1213.87,-0.0705792274415222,6,-0.14285714285714285,6,-0.14285714285714285
"2017-06",home_comfort_2,12.9,,1,,1,
"2017-06",home_confort,2818.2,-0.4489320638943151,17,-0.46875,17,-0.5142857142857142
"2017-06",home_construction,1992.3,0.2294353594569577,4,-0.2,8,0.14285714285714285
"2017-06",housewares,22978.21,0.07500900589008593,280,0.08108108108108109,321,0.06291390728476821
"2017-06",industry_commerce_and_business,276.97,-0.46716044632550974,2,0.0,2,0.0
"2017-06",kitchen_dining_laundry_garden_furniture,374.8,-0.7126824481785846,4,-0.5555555555555556,4,-0.5555555555555556
"2017-06",luggage_accessories,8142.19,-0.3506828755576326,59,-0.078125,60,-0.14285714285714285
"2017-06",market_place,1258.95,-0.49173994138022914,15,-0.2857142857142857,16,-0.2727272727272727
"2017-06",music,1066.9,,4,,4,
"2017-06",musical_instruments,4993.05,-0.48201866498468793,17,-0.05555555555555555,20,0.0
"2017-06",office_furniture,7279.13,-0.13379060693074138,45,0.07142857142857142,50,-0.10714285714285714
"2017-06",perfumery,23954.32,0.19879131581028173,140,0.06060606060606061,148,0.03496503496503497
"2017-06",pet_shop,5123.57,-0.37141977323083497,60,-0.09090909090909091,63,-0.136986301369863
"2017-06",signaling_and_security,134.0,-0.7366610985555665,1,-0.6666666666666666,1,-0.75
"2017-06",small_appliances,9698.81,0.850409429469764,23,0.4375,23,0.2777777777777778
"2017-06",small_appliances_home_oven_and_coffee,71.9,,1,,1,
"2017-06",sports_leisure,32066.93,-0.059668527080591005,245,-0.04296875,269,-0.1180327868852459
"2017-06",stationery,3493.57,-0.3761682660200208,37,-0.38333333333333336,38,-0.40625
"2017-06",tablets_printing_image,594.0,-0.6079156160477366,6,-0.14285714285714285,6,-0.14285714285714285
